gid,__gid,region,line_name,voltage,capacity_mw,current_load_mw,length_km,no_of_ckt,condu_type,bundl_type,ntr_line,owner,status,ckt_comm_y,impl_mode,nip_id,opgw,fbr_comm_y,opgw_ckt,owner_opgw,t_fbr_opgw,fbr_pwr_ap,fbr_tel_se,sy_ps_loca,symbology,source_gid,selection_basis,inside_study_area_length_km_calculated,source_geometry_length_km_calculated,geometry_wkt
10018,20018,NR,Mock Shahdara - Badarpur 220 kV S/C Line 0018,220 kV,300,206.2,19.285,1,AAAC,Single,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2020,RTM,MOCK-NIP-00018,No,2020,,,,,,"Mock coordinates: Shahdara (28.67000N, 77.29000E) to Badarpur (28.50000N, 77.30000E)",220 kV (Commissioned),10018,Synthetic geometry constrained to approximate Delhi NCT study area,19.285,19.285,"LINESTRING (77.290000 28.670000, 77.291763 28.634441, 77.278587 28.580007, 77.291808 28.530470, 77.300000 28.500000)"
10019,20019,NR,Mock Shahdara - Dwarka 765 kV S/C Line 0019,765 kV,2300,0.0,26.891,1,ACSR / AAAC / AL59,Hexa,Intra-State,Mock Inter-State Grid Delhi,Under Bidding,March 2029,RTM,MOCK-NIP-00019,No,March 2029,,,,,,"Mock coordinates: Shahdara (28.67000N, 77.29000E) to Dwarka (28.59000N, 77.03000E)",765 kV (Under Bidding),10019,Synthetic geometry constrained to approximate Delhi NCT study area,26.891,26.891,"LINESTRING (77.290000 28.670000, 77.143506 28.625940, 77.030000 28.590000)"
10020,20020,NR,Mock Bamnoli - Mundka 220 kV D/C Line 0020,220 kV,700,0.0,17.171,2,ACSR Moose,Twin,Intra-State,Mock North Delhi Transmission Co.,Under Bidding,September 2025,RTM,MOCK-NIP-00020,Yes,September 2025,2.0,Mock North Delhi Transmission Co.,18.0,4.0,18.0,"Mock coordinates: Bamnoli (28.53000N, 77.00000E) to Mundka (28.68000N, 76.98000E)",220 kV (Under Bidding),10020,Synthetic geometry constrained to approximate Delhi NCT study area,17.171,17.171,"LINESTRING (77.000000 28.530000, 77.007143 28.614323, 76.980000 28.680000)"
10021,20021,NR,Mock Badarpur - Sarita Vihar 400 kV D/C Line 0021,400 kV,1600,0.0,4.926,2,ACSR Zebra,Twin Moose,Intra-State,Mock Inter-State Grid Delhi,Under Construction,December 2026,TBCB,MOCK-NIP-00021,No,December 2026,,,,,,"Mock coordinates: Badarpur (28.50000N, 77.30000E) to Sarita Vihar (28.53000N, 77.30000E)",400 kV (Under Construction),10021,Synthetic geometry constrained to approximate Delhi NCT study area,4.926,4.926,"LINESTRING (77.300000 28.500000, 77.305959 28.507930, 77.311539 28.526140, 77.301382 28.523482, 77.300000 28.530000)"
10022,20022,NR,Mock Mahipalpur - Wazirabad 220 kV S/C Line 0022,220 kV,300,240.4,18.622,1,ACSR Zebra,Single,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2021,RTM,MOCK-NIP-00022,Yes,2021,1.0,Mock South Delhi Transmission Co.,24.0,8.0,12.0,"Mock coordinates: Mahipalpur (28.55000N, 77.13000E) to Wazirabad (28.71000N, 77.18000E)",220 kV (Commissioned),10022,Synthetic geometry constrained to approximate Delhi NCT study area,18.622,18.622,"LINESTRING (77.130000 28.550000, 77.140902 28.628037, 77.180000 28.710000)"
10023,20023,NR,Mock Okhla - Mayur Vihar 220 kV D/C Line 0023,220 kV,750,0.0,9.287,2,ACSR Zebra,Twin,Intra-State,Mock North Delhi Transmission Co.,Under Construction,September 2028,TBCB,MOCK-NIP-00023,No,September 2028,,,,,,"Mock coordinates: Okhla (28.53000N, 77.28000E) to Mayur Vihar (28.61000N, 77.30000E)",220 kV (Under Construction),10023,Synthetic geometry constrained to approximate Delhi NCT study area,9.287,9.287,"LINESTRING (77.280000 28.530000, 77.283301 28.580440, 77.300000 28.610000)"
10024,20024,NR,Mock Najafgarh - Pusa 220 kV S/C Line 0024,220 kV,250,105.2,18.856,1,AAAC,Single,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2025,TBCB,MOCK-NIP-00024,No,2025,,,,,,"Mock coordinates: Najafgarh (28.61000N, 76.98000E) to Pusa (28.64000N, 77.17000E)",220 kV (Commissioned),10024,Synthetic geometry constrained to approximate Delhi NCT study area,18.856,18.856,"LINESTRING (76.980000 28.610000, 77.077488 28.622182, 77.170000 28.640000)"
10025,20025,NR,Mock Najafgarh - Ridge 220 kV S/C Line 0025,220 kV,250,0.0,20.146,1,ACSR Zebra,Twin,Intra-State,Mock Delhi Transmission Utility,Under Construction,December 2028,RTM,MOCK-NIP-00025,Yes,December 2028,1.0,Mock Delhi Transmission Utility,12.0,8.0,18.0,"Mock coordinates: Najafgarh (28.61000N, 76.98000E) to Ridge (28.68000N, 77.17000E)",220 kV (Under Construction),10025,Synthetic geometry constrained to approximate Delhi NCT study area,20.146,20.146,"LINESTRING (76.980000 28.610000, 77.060053 28.645464, 77.170000 28.680000)"
10026,20026,NR,Mock Ridge - Dwarka 220 kV S/C Line 0026,220 kV,350,0.0,17.006,1,ACSR Zebra,Single,Intra-State,Mock Delhi Transmission Utility,Under Bidding,March 2029,TBCB,MOCK-NIP-00026,Yes,March 2029,1.0,Mock Delhi Transmission Utility,12.0,8.0,12.0,"Mock coordinates: Ridge (28.68000N, 77.17000E) to Dwarka (28.59000N, 77.03000E)",220 kV (Under Bidding),10026,Synthetic geometry constrained to approximate Delhi NCT study area,17.006,17.006,"LINESTRING (77.170000 28.680000, 77.107860 28.631519, 77.030000 28.590000)"
10027,20027,NR,Mock Patparganj - Lodhi Road 400 kV D/C Line 0027,400 kV,1950,0.0,8.156,2,ACSR Zebra,Quad,Intra-State,Mock Inter-State Grid Delhi,Under Construction,March 2027,TBCB,MOCK-NIP-00027,No,March 2027,,,,,,"Mock coordinates: Patparganj (28.63000N, 77.29000E) to Lodhi Road (28.59000N, 77.22000E)",400 kV (Under Construction),10027,Synthetic geometry constrained to approximate Delhi NCT study area,8.156,8.156,"LINESTRING (77.290000 28.630000, 77.256121 28.611768, 77.220000 28.590000)"
10028,20028,NR,Mock Mahipalpur - Punjabi Bagh 400 kV S/C Line 0028,400 kV,1150,570.8,13.344,1,ACSR Zebra,Twin Moose,ISTS,Mock Inter-State Grid Delhi,Commissioned,2021,RTM,MOCK-NIP-00028,Yes,2021,1.0,Mock Inter-State Grid Delhi,36.0,6.0,24.0,"Mock coordinates: Mahipalpur (28.55000N, 77.13000E) to Punjabi Bagh (28.67000N, 77.13000E)",400 kV (Commissioned),10028,Synthetic geometry constrained to approximate Delhi NCT study area,13.344,13.344,"LINESTRING (77.130000 28.550000, 77.129445 28.602177, 77.130000 28.670000)"
10029,20029,NR,Mock Patparganj - Badarpur 400 kV S/C Line 0029,400 kV,700,0.0,14.788,1,ACSR Zebra,Quad,ISTS,Mock Inter-State Grid Delhi,Under Bidding,September 2028,TBCB,MOCK-NIP-00029,Yes,September 2028,1.0,Mock Inter-State Grid Delhi,18.0,8.0,12.0,"Mock coordinates: Patparganj (28.63000N, 77.29000E) to Badarpur (28.50000N, 77.30000E)",400 kV (Under Bidding),10029,Synthetic geometry constrained to approximate Delhi NCT study area,14.788,14.788,"LINESTRING (77.290000 28.630000, 77.279242 28.574987, 77.300000 28.500000)"
10030,20030,NR,Mock Mahipalpur - Lodhi Road 400 kV S/C Line 0030,400 kV,1050,0.0,9.87,1,ACSR Moose,Twin Moose,Intra-State,Mock Delhi Transmission Utility,Under Bidding,March 2028,RTM,MOCK-NIP-00030,No,March 2028,,,,,,"Mock coordinates: Mahipalpur (28.55000N, 77.13000E) to Lodhi Road (28.59000N, 77.22000E)",400 kV (Under Bidding),10030,Synthetic geometry constrained to approximate Delhi NCT study area,9.87,9.87,"LINESTRING (77.130000 28.550000, 77.174483 28.566666, 77.220000 28.590000)"
10031,20031,NR,Mock Najafgarh - Bawana 220 kV D/C Line 0031,220 kV,900,391.4,22.238,2,ACSR Zebra,Single,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2018,TBCB,MOCK-NIP-00031,No,2018,,,,,,"Mock coordinates: Najafgarh (28.61000N, 76.98000E) to Bawana (28.80000N, 77.05000E)",220 kV (Commissioned),10031,Synthetic geometry constrained to approximate Delhi NCT study area,22.238,22.238,"LINESTRING (76.980000 28.610000, 77.006366 28.699821, 77.050000 28.800000)"
10032,20032,NR,Mock Badarpur - Okhla 400 kV S/C Line 0032,400 kV,1000,414.7,4.317,1,AL 59 Zebra,Quad,ISTS,Mock Delhi Transmission Utility,Commissioned,2021,RTM,MOCK-NIP-00032,Yes,2021,1.0,Mock Delhi Transmission Utility,24.0,6.0,12.0,"Mock coordinates: Badarpur (28.50000N, 77.30000E) to Okhla (28.53000N, 77.28000E)",400 kV (Commissioned),10032,Synthetic geometry constrained to approximate Delhi NCT study area,4.317,4.317,"LINESTRING (77.300000 28.500000, 77.295405 28.523437, 77.280000 28.530000)"
10033,20033,NR,Mock Punjabi Bagh - Wazirabad 220 kV D/C Line 0033,220 kV,700,521.5,7.24,2,ACSR Zebra,Twin,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2021,TBCB,MOCK-NIP-00033,No,2021,,,,,,"Mock coordinates: Punjabi Bagh (28.67000N, 77.13000E) to Wazirabad (28.71000N, 77.18000E)",220 kV (Commissioned),10033,Synthetic geometry constrained to approximate Delhi NCT study area,7.24,7.24,"LINESTRING (77.130000 28.670000, 77.165001 28.679913, 77.180000 28.710000)"
10034,20034,NR,Mock Wazirabad - Okhla 220 kV D/C Line 0034,220 kV,950,731.1,22.505,2,AAAC,Single,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2020,TBCB,MOCK-NIP-00034,Yes,2020,2.0,Mock North Delhi Transmission Co.,36.0,4.0,24.0,"Mock coordinates: Wazirabad (28.71000N, 77.18000E) to Okhla (28.53000N, 77.28000E)",220 kV (Commissioned),10034,Synthetic geometry constrained to approximate Delhi NCT study area,22.505,22.505,"LINESTRING (77.180000 28.710000, 77.207720 28.682946, 77.242611 28.623012, 77.265080 28.561695, 77.280000 28.530000)"
10035,20035,NR,Mock Lodhi Road - Okhla 220 kV D/C Line 0035,220 kV,750,475.5,9.223,2,ACSR Zebra,Single,Intra-State,Mock Delhi Transmission Utility,Commissioned,2024,RTM,MOCK-NIP-00035,Yes,2024,2.0,Mock Delhi Transmission Utility,24.0,2.0,18.0,"Mock coordinates: Lodhi Road (28.59000N, 77.22000E) to Okhla (28.53000N, 77.28000E)",220 kV (Commissioned),10035,Synthetic geometry constrained to approximate Delhi NCT study area,9.223,9.223,"LINESTRING (77.220000 28.590000, 77.254173 28.572589, 77.280000 28.530000)"
10036,20036,NR,Mock Okhla - Bamnoli 220 kV S/C Line 0036,220 kV,500,205.3,27.376,1,AAAC,Twin,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2025,TBCB,MOCK-NIP-00036,No,2025,,,,,,"Mock coordinates: Okhla (28.53000N, 77.28000E) to Bamnoli (28.53000N, 77.00000E)",220 kV (Commissioned),10036,Synthetic geometry constrained to approximate Delhi NCT study area,27.376,27.376,"LINESTRING (77.280000 28.530000, 77.228199 28.529630, 77.139552 28.525645, 77.053404 28.529145, 77.000000 28.530000)"
10037,20037,NR,Mock Patparganj - Ridge 220 kV D/C Line 0037,220 kV,1000,480.3,13.25,2,ACSR Moose,Single,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2022,TBCB,MOCK-NIP-00037,No,2022,,,,,,"Mock coordinates: Patparganj (28.63000N, 77.29000E) to Ridge (28.68000N, 77.17000E)",220 kV (Commissioned),10037,Synthetic geometry constrained to approximate Delhi NCT study area,13.25,13.25,"LINESTRING (77.290000 28.630000, 77.212621 28.648827, 77.170000 28.680000)"
10038,20038,NR,Mock Vasant Kunj - Badarpur 400 kV S/C Line 0038,400 kV,900,732.1,14.407,1,ACSR Moose,Quad,ISTS,Mock Inter-State Grid Delhi,Commissioned,2022,TBCB,MOCK-NIP-00038,No,2022,,,,,,"Mock coordinates: Vasant Kunj (28.54000N, 77.16000E) to Badarpur (28.50000N, 77.30000E)",400 kV (Commissioned),10038,Synthetic geometry constrained to approximate Delhi NCT study area,14.407,14.407,"LINESTRING (77.160000 28.540000, 77.220299 28.526639, 77.300000 28.500000)"
10039,20039,NR,Mock Najafgarh - Dwarka 400 kV D/C Line 0039,400 kV,1750,1332.2,6.007,2,ACSR Zebra,Quad,ISTS,Mock Delhi Transmission Utility,Commissioned,2018,TBCB,MOCK-NIP-00039,No,2018,,,,,,"Mock coordinates: Najafgarh (28.61000N, 76.98000E) to Dwarka (28.59000N, 77.03000E)",400 kV (Commissioned),10039,Synthetic geometry constrained to approximate Delhi NCT study area,6.007,6.007,"LINESTRING (76.980000 28.610000, 76.988320 28.607499, 76.987509 28.601024, 77.017497 28.589374, 77.030000 28.590000)"
10040,20040,NR,Mock Mayur Vihar - Wazirabad 220 kV S/C Line 0040,220 kV,400,200.9,16.223,1,ACSR Moose,Single,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2022,RTM,MOCK-NIP-00040,No,2022,,,,,,"Mock coordinates: Mayur Vihar (28.61000N, 77.30000E) to Wazirabad (28.71000N, 77.18000E)",220 kV (Commissioned),10040,Synthetic geometry constrained to approximate Delhi NCT study area,16.223,16.223,"LINESTRING (77.300000 28.610000, 77.284612 28.621101, 77.251596 28.657021, 77.200849 28.692212, 77.180000 28.710000)"
10041,20041,NR,Mock Ridge - Shahdara 400 kV S/C Line 0041,400 kV,1200,0.0,11.779,1,AL 59 Zebra,Twin Moose,ISTS,Mock Inter-State Grid Delhi,Under Construction,March 2025,RTM,MOCK-NIP-00041,Yes,March 2025,1.0,Mock Inter-State Grid Delhi,36.0,8.0,18.0,"Mock coordinates: Ridge (28.68000N, 77.17000E) to Shahdara (28.67000N, 77.29000E)",400 kV (Under Construction),10041,Synthetic geometry constrained to approximate Delhi NCT study area,11.779,11.779,"LINESTRING (77.170000 28.680000, 77.222994 28.678631, 77.290000 28.670000)"
10042,20042,NR,Mock Bawana - Mundka 220 kV S/C Line 0042,220 kV,350,0.0,15.002,1,AAAC,Twin,Intra-State,Mock South Delhi Transmission Co.,Planned,June 2026,RTM,MOCK-NIP-00042,No,June 2026,,,,,,"Mock coordinates: Bawana (28.80000N, 77.05000E) to Mundka (28.68000N, 76.98000E)",220 kV (Planned),10042,Synthetic geometry constrained to approximate Delhi NCT study area,15.002,15.002,"LINESTRING (77.050000 28.800000, 77.007372 28.733482, 76.980000 28.680000)"
10043,20043,NR,Mock Mundka - Bawana 400 kV D/C Line 0043,400 kV,1650,895.8,15.423,2,AL 59 Zebra,Quad,ISTS,Mock Inter-State Grid Delhi,Commissioned,2025,TBCB,MOCK-NIP-00043,No,2025,,,,,,"Mock coordinates: Mundka (28.68000N, 76.98000E) to Bawana (28.80000N, 77.05000E)",400 kV (Commissioned),10043,Synthetic geometry constrained to approximate Delhi NCT study area,15.423,15.423,"LINESTRING (76.980000 28.680000, 76.999147 28.748779, 77.050000 28.800000)"
10044,20044,NR,Mock Punjabi Bagh - Bawana 220 kV S/C Line 0044,220 kV,300,0.0,16.724,1,AAAC,Single,Intra-State,Mock South Delhi Transmission Co.,Planned,March 2025,RTM,MOCK-NIP-00044,No,March 2025,,,,,,"Mock coordinates: Punjabi Bagh (28.67000N, 77.13000E) to Bawana (28.80000N, 77.05000E)",220 kV (Planned),10044,Synthetic geometry constrained to approximate Delhi NCT study area,16.724,16.724,"LINESTRING (77.130000 28.670000, 77.104019 28.742036, 77.050000 28.800000)"
10045,20045,NR,Mock Mayur Vihar - Shahdara 220 kV D/C Line 0045,220 kV,1000,497.5,6.99,2,ACSR Moose,Single,Intra-State,Mock Delhi Transmission Utility,Commissioned,2018,RTM,MOCK-NIP-00045,Yes,2018,2.0,Mock Delhi Transmission Utility,36.0,2.0,18.0,"Mock coordinates: Mayur Vihar (28.61000N, 77.30000E) to Shahdara (28.67000N, 77.29000E)",220 kV (Commissioned),10045,Synthetic geometry constrained to approximate Delhi NCT study area,6.99,6.99,"LINESTRING (77.300000 28.610000, 77.301183 28.626486, 77.300454 28.652482, 77.293560 28.658964, 77.290000 28.670000)"
10046,20046,NR,Mock Mahipalpur - Shahdara 400 kV S/C Line 0046,400 kV,1200,0.0,20.779,1,AL 59 Zebra,Quad,Intra-State,Mock Inter-State Grid Delhi,Under Construction,September 2028,TBCB,MOCK-NIP-00046,Yes,September 2028,1.0,Mock Inter-State Grid Delhi,18.0,6.0,24.0,"Mock coordinates: Mahipalpur (28.55000N, 77.13000E) to Shahdara (28.67000N, 77.29000E)",400 kV (Under Construction),10046,Synthetic geometry constrained to approximate Delhi NCT study area,20.779,20.779,"LINESTRING (77.130000 28.550000, 77.196173 28.618176, 77.290000 28.670000)"
10047,20047,NR,Mock Mundka - Najafgarh 220 kV D/C Line 0047,220 kV,1000,411.4,8.065,2,ACSR Moose,Twin,Intra-State,Mock Delhi Transmission Utility,Commissioned,2022,TBCB,MOCK-NIP-00047,No,2022,,,,,,"Mock coordinates: Mundka (28.68000N, 76.98000E) to Najafgarh (28.61000N, 76.98000E)",220 kV (Commissioned),10047,Synthetic geometry constrained to approximate Delhi NCT study area,8.065,8.065,"LINESTRING (76.980000 28.680000, 76.984898 28.671138, 76.977772 28.650948, 76.976092 28.620232, 76.980000 28.610000)"
